review_id,review,aspect,gold_sentiment,llm_sentiment,nli_sentiment
2,"I walked into a book store in Brentwood, Tennessee. I am not going to say the name because I am a dedicated customer. I have been satisfied with every item I purchased there before this one. On display in the front of the store was The Bell Witch Haunting. (Might I mention this is the only store I have seen it for sale in.) I had heard about the story somewhere and remembered it was supposed to have really happened for real. I was very excited and couldn't wait to watch it. I had great expectations for it. I couldn't believe what I seen when I viewed it. It didn't look like a real movie. It looked like a home video. I was under the impression it was suppose to be a horror movie. I mean the movie was suppose to be about a witch haunting you know. This is no horror movie. You will not jump out of your seat watching this movie. I gave the movie all the chances in the world to get better as it went along. I swear I did. It never did get any better. There were several scenes of this little kid getting poop and pee thrown on him. I didn't find that entertaining at all. I watched the whole movie with disbelief that the store would actually sell this to me. I guess that is how bad this economy has got. I have this to say to the cast and crew. Do not show this film as material to get other film jobs. Don't do it. I mean that sincerely. I commend you for trying. For people who have bought this. I say this. Don't sell your copy to someone. They could get very upset. Have a nice day everyone.",direction,negative,,
2,"I walked into a book store in Brentwood, Tennessee. I am not going to say the name because I am a dedicated customer. I have been satisfied with every item I purchased there before this one. On display in the front of the store was The Bell Witch Haunting. (Might I mention this is the only store I have seen it for sale in.) I had heard about the story somewhere and remembered it was supposed to have really happened for real. I was very excited and couldn't wait to watch it. I had great expectations for it. I couldn't believe what I seen when I viewed it. It didn't look like a real movie. It looked like a home video. I was under the impression it was suppose to be a horror movie. I mean the movie was suppose to be about a witch haunting you know. This is no horror movie. You will not jump out of your seat watching this movie. I gave the movie all the chances in the world to get better as it went along. I swear I did. It never did get any better. There were several scenes of this little kid getting poop and pee thrown on him. I didn't find that entertaining at all. I watched the whole movie with disbelief that the store would actually sell this to me. I guess that is how bad this economy has got. I have this to say to the cast and crew. Do not show this film as material to get other film jobs. Don't do it. I mean that sincerely. I commend you for trying. For people who have bought this. I say this. Don't sell your copy to someone. They could get very upset. Have a nice day everyone.",writing,not_mentioned,,
3,"No, this wasn't one of the ten worst films of the 1980's, but it certainly skirts the bottom 100 somewhere. This movie looks like it was put on the shelf for two or three years and then released in 1981. How else would you explain special effects pre-dating ""An American Werewolf in London,"" disco still being considered cool, and Ronald Reagan not being the 40th President of the United States? While we're at it, let's not overlook those 1970's hairstyles in the 1950's and '60's. I've seen more of that here than in ""Happy Days"" & ""Laverne & Shirley"" combined.<br /><br />The one woman who elevates this movie to the ""so bad, it's good"" category was the late, great Elizabeth Hartman, but just barely. Biff plays as Miss Montgomery, the mousey high school teacher who becomes a sexpot, a stereotype that's been done to death and is still being churned out by Hollywood today, but even as a ""hot chick"" she retains her mousey qualities. Her call for help is evidence of this. She also looks much better as Miss Wimp. ""Seven bucks at the beauty parlor, shot to hell."" She wasn't kidding.<br /><br />This isn't to say that there aren't any good parts elsewhere, they're just few and far between, and I'm not just saying that because I like Hartman. Incidentally, ""Teen Wolf"" was better than this. ""Teen Wolf Too"" was better than this, and that wasn't even so good.<br /><br />",acting_performances,negative,,
3,"No, this wasn't one of the ten worst films of the 1980's, but it certainly skirts the bottom 100 somewhere. This movie looks like it was put on the shelf for two or three years and then released in 1981. How else would you explain special effects pre-dating ""An American Werewolf in London,"" disco still being considered cool, and Ronald Reagan not being the 40th President of the United States? While we're at it, let's not overlook those 1970's hairstyles in the 1950's and '60's. I've seen more of that here than in ""Happy Days"" & ""Laverne & Shirley"" combined.<br /><br />The one woman who elevates this movie to the ""so bad, it's good"" category was the late, great Elizabeth Hartman, but just barely. Biff plays as Miss Montgomery, the mousey high school teacher who becomes a sexpot, a stereotype that's been done to death and is still being churned out by Hollywood today, but even as a ""hot chick"" she retains her mousey qualities. Her call for help is evidence of this. She also looks much better as Miss Wimp. ""Seven bucks at the beauty parlor, shot to hell."" She wasn't kidding.<br /><br />This isn't to say that there aren't any good parts elsewhere, they're just few and far between, and I'm not just saying that because I like Hartman. Incidentally, ""Teen Wolf"" was better than this. ""Teen Wolf Too"" was better than this, and that wasn't even so good.<br /><br />",story_plot,negative,,
3,"No, this wasn't one of the ten worst films of the 1980's, but it certainly skirts the bottom 100 somewhere. This movie looks like it was put on the shelf for two or three years and then released in 1981. How else would you explain special effects pre-dating ""An American Werewolf in London,"" disco still being considered cool, and Ronald Reagan not being the 40th President of the United States? While we're at it, let's not overlook those 1970's hairstyles in the 1950's and '60's. I've seen more of that here than in ""Happy Days"" & ""Laverne & Shirley"" combined.<br /><br />The one woman who elevates this movie to the ""so bad, it's good"" category was the late, great Elizabeth Hartman, but just barely. Biff plays as Miss Montgomery, the mousey high school teacher who becomes a sexpot, a stereotype that's been done to death and is still being churned out by Hollywood today, but even as a ""hot chick"" she retains her mousey qualities. Her call for help is evidence of this. She also looks much better as Miss Wimp. ""Seven bucks at the beauty parlor, shot to hell."" She wasn't kidding.<br /><br />This isn't to say that there aren't any good parts elsewhere, they're just few and far between, and I'm not just saying that because I like Hartman. Incidentally, ""Teen Wolf"" was better than this. ""Teen Wolf Too"" was better than this, and that wasn't even so good.<br /><br />",pacing,not_mentioned,,
3,"No, this wasn't one of the ten worst films of the 1980's, but it certainly skirts the bottom 100 somewhere. This movie looks like it was put on the shelf for two or three years and then released in 1981. How else would you explain special effects pre-dating ""An American Werewolf in London,"" disco still being considered cool, and Ronald Reagan not being the 40th President of the United States? While we're at it, let's not overlook those 1970's hairstyles in the 1950's and '60's. I've seen more of that here than in ""Happy Days"" & ""Laverne & Shirley"" combined.<br /><br />The one woman who elevates this movie to the ""so bad, it's good"" category was the late, great Elizabeth Hartman, but just barely. Biff plays as Miss Montgomery, the mousey high school teacher who becomes a sexpot, a stereotype that's been done to death and is still being churned out by Hollywood today, but even as a ""hot chick"" she retains her mousey qualities. Her call for help is evidence of this. She also looks much better as Miss Wimp. ""Seven bucks at the beauty parlor, shot to hell."" She wasn't kidding.<br /><br />This isn't to say that there aren't any good parts elsewhere, they're just few and far between, and I'm not just saying that because I like Hartman. Incidentally, ""Teen Wolf"" was better than this. ""Teen Wolf Too"" was better than this, and that wasn't even so good.<br /><br />",visuals,negative,,
3,"No, this wasn't one of the ten worst films of the 1980's, but it certainly skirts the bottom 100 somewhere. This movie looks like it was put on the shelf for two or three years and then released in 1981. How else would you explain special effects pre-dating ""An American Werewolf in London,"" disco still being considered cool, and Ronald Reagan not being the 40th President of the United States? While we're at it, let's not overlook those 1970's hairstyles in the 1950's and '60's. I've seen more of that here than in ""Happy Days"" & ""Laverne & Shirley"" combined.<br /><br />The one woman who elevates this movie to the ""so bad, it's good"" category was the late, great Elizabeth Hartman, but just barely. Biff plays as Miss Montgomery, the mousey high school teacher who becomes a sexpot, a stereotype that's been done to death and is still being churned out by Hollywood today, but even as a ""hot chick"" she retains her mousey qualities. Her call for help is evidence of this. She also looks much better as Miss Wimp. ""Seven bucks at the beauty parlor, shot to hell."" She wasn't kidding.<br /><br />This isn't to say that there aren't any good parts elsewhere, they're just few and far between, and I'm not just saying that because I like Hartman. Incidentally, ""Teen Wolf"" was better than this. ""Teen Wolf Too"" was better than this, and that wasn't even so good.<br /><br />",direction,negative,,
3,"No, this wasn't one of the ten worst films of the 1980's, but it certainly skirts the bottom 100 somewhere. This movie looks like it was put on the shelf for two or three years and then released in 1981. How else would you explain special effects pre-dating ""An American Werewolf in London,"" disco still being considered cool, and Ronald Reagan not being the 40th President of the United States? While we're at it, let's not overlook those 1970's hairstyles in the 1950's and '60's. I've seen more of that here than in ""Happy Days"" & ""Laverne & Shirley"" combined.<br /><br />The one woman who elevates this movie to the ""so bad, it's good"" category was the late, great Elizabeth Hartman, but just barely. Biff plays as Miss Montgomery, the mousey high school teacher who becomes a sexpot, a stereotype that's been done to death and is still being churned out by Hollywood today, but even as a ""hot chick"" she retains her mousey qualities. Her call for help is evidence of this. She also looks much better as Miss Wimp. ""Seven bucks at the beauty parlor, shot to hell."" She wasn't kidding.<br /><br />This isn't to say that there aren't any good parts elsewhere, they're just few and far between, and I'm not just saying that because I like Hartman. Incidentally, ""Teen Wolf"" was better than this. ""Teen Wolf Too"" was better than this, and that wasn't even so good.<br /><br />",writing,negative,,
4,"Albert Pyun presents his vision of the lost city of Atlantis - and it's a vision so cluttered up with claustrophobic settings, weird costumes and noisy, ""quirky"" minor characters that one thing is for sure: you want to get the hell outta there as soon as possible (unfortunately, it will take you about 80 minutes). The ""Alice in Wonderland""-like story is meandering and uninteresting, and there was probably no actress in the world who could have turned this into a good movie, though Kathy Ireland makes an appealing (annoying voice and all) attempt. (*1/2)",acting_performances,negative,,
4,"Albert Pyun presents his vision of the lost city of Atlantis - and it's a vision so cluttered up with claustrophobic settings, weird costumes and noisy, ""quirky"" minor characters that one thing is for sure: you want to get the hell outta there as soon as possible (unfortunately, it will take you about 80 minutes). The ""Alice in Wonderland""-like story is meandering and uninteresting, and there was probably no actress in the world who could have turned this into a good movie, though Kathy Ireland makes an appealing (annoying voice and all) attempt. (*1/2)",story_plot,negative,,
4,"Albert Pyun presents his vision of the lost city of Atlantis - and it's a vision so cluttered up with claustrophobic settings, weird costumes and noisy, ""quirky"" minor characters that one thing is for sure: you want to get the hell outta there as soon as possible (unfortunately, it will take you about 80 minutes). The ""Alice in Wonderland""-like story is meandering and uninteresting, and there was probably no actress in the world who could have turned this into a good movie, though Kathy Ireland makes an appealing (annoying voice and all) attempt. (*1/2)",pacing,negative,,
4,"Albert Pyun presents his vision of the lost city of Atlantis - and it's a vision so cluttered up with claustrophobic settings, weird costumes and noisy, ""quirky"" minor characters that one thing is for sure: you want to get the hell outta there as soon as possible (unfortunately, it will take you about 80 minutes). The ""Alice in Wonderland""-like story is meandering and uninteresting, and there was probably no actress in the world who could have turned this into a good movie, though Kathy Ireland makes an appealing (annoying voice and all) attempt. (*1/2)",visuals,negative,,
4,"Albert Pyun presents his vision of the lost city of Atlantis - and it's a vision so cluttered up with claustrophobic settings, weird costumes and noisy, ""quirky"" minor characters that one thing is for sure: you want to get the hell outta there as soon as possible (unfortunately, it will take you about 80 minutes). The ""Alice in Wonderland""-like story is meandering and uninteresting, and there was probably no actress in the world who could have turned this into a good movie, though Kathy Ireland makes an appealing (annoying voice and all) attempt. (*1/2)",direction,negative,,
4,"Albert Pyun presents his vision of the lost city of Atlantis - and it's a vision so cluttered up with claustrophobic settings, weird costumes and noisy, ""quirky"" minor characters that one thing is for sure: you want to get the hell outta there as soon as possible (unfortunately, it will take you about 80 minutes). The ""Alice in Wonderland""-like story is meandering and uninteresting, and there was probably no actress in the world who could have turned this into a good movie, though Kathy Ireland makes an appealing (annoying voice and all) attempt. (*1/2)",writing,negative,,
5,"The Toxic Avenger, Part II starts with the startling revelation that after the Toxic Aveneger (John Altamura who was apparently fired during production & replaced with Ron Fazio) had rid his home town Tromaville of evil it actually became a nice place to live. This meant that Toxie had no use as a superhero anymore & now suffers from depression & a feeling of utter uselessness (just like directors Lloyd Kaufman & Michael Herz should feel like after producing this), Toxie now works as a concierge at the 'Tromaville centre for the blind'. It's not long before trouble rears it's ugly head though, an evil chemical producing company called Apocalypse Inc. plans to take over Tromaville for some stupid insignificant reason or other but to do so they need to get rid of Toxie. After the evil chairman's (Rick Collins) first plan fails he bribes Toxie's psychiatrist (Erika Schickel) to tell him to go to Japan & see his Father. Leaving his girlfriend Claire (Phoebe Legere), his Mother (Jessica Dublin) & his home behind Toxie heads for Tokyo, Japan. Once there Toxie sets about finding his Father & a woman named Masami (Mayako Katsuragi) helps him in his quest. Meanwhile back in Tromaville Apocalypse Inc. move in for the kill & without Toxie the citizens are powerless to defend themselves. Toxie eventually finds Big Mac Bunko (Rikiya Yasuoka) whom he has been lead to believe is his Father, however Big Mac is all part of Apocalypse Inc. plans to destroy Toxie once & for all...<br /><br />Produced & directed by Lloyd Kaufman & Michael Herz this follow up to the successful The Toxic Avenger (1985) basically proves the first film was a complete fluke, a lucky accident to combine the right blend of bad taste comedy, outrageous violence & so-bad-it's-good film-making, The Toxic Avenger, Part II is a load of crap in comparison. The script by by Kaufman, Phil Rivio & Gay Partington Terry with a load of 'additional material' credits does not contain one single funny moment during it's entire 102 (uncut director's cut) duration. The visual gags are terrible, Toxie walking through Tokyo with a wig & glasses to blend in for instance, or a scene where he heats up a bath with a bad guy in it & as he cooks Toxie throws in a load of vegetable's & spaghetti, a scene where he sticks electrical wires up a woman's nose, sticks an antenna in her head & a microphone in her mouth to which a Japanese radio announcer talks into, a bit where a Japanese bad guy has his nose burnt into the shape of a fish, a bit where Toxie grabs a swordfish head & uses it as a weapon, or the embarrassingly bad overacting & stupid idiotic facial expressions, a guy who literary has a fish for a head & gets turned literary into sushi, the awful comedy music & sound effects & the whole film in general is a pale imitation of what made the original mildly amusing & memorable. The bad taste gags aren't there this time round & the silly childish juvenile humour of the first is also missing, it just feels like a real step back from the original & lets not forget this is Troma here so that is most definitely a bad thing. There are a few gory fights & some serious gore & violence, at least in the supposedly uncut 102 minute version I saw, crushed heads with the bodies spurting out blood, smashed faces, intestines, roses poked in someones eyes & thorns wrapped around their throat, ripped off ears, severed arms & a very graphic & gory scene of a man being chopped to pieces. Unfortunately the special effects by Pericles Lewnes aren't particularly convincing & come mostly within the first twenty or so minutes. The acting is of embarrassing proportions as I've already mentioned. Action wise there is an ultra cheap looking car chase at the end & a few unexciting, lacklustre fights utilising cardboard ninja throwing stars at one point. Horror wise there is nothing a few gory set pieces apart. Comedy wise this is very unfunny. In fact The Toxic Avenger, Part II sucks on all levels really & to top it all off it's atrociously made as well, most of the cast appear to be people plucked from the nearest street corner, continuity is none existent, cinematography is basic point & shoot & the special effects are anything but. One or two gory scenes apart this is total crap plain & simple, do yourself a favour watch the original again instead.",acting_performances,negative,,
5,"The Toxic Avenger, Part II starts with the startling revelation that after the Toxic Aveneger (John Altamura who was apparently fired during production & replaced with Ron Fazio) had rid his home town Tromaville of evil it actually became a nice place to live. This meant that Toxie had no use as a superhero anymore & now suffers from depression & a feeling of utter uselessness (just like directors Lloyd Kaufman & Michael Herz should feel like after producing this), Toxie now works as a concierge at the 'Tromaville centre for the blind'. It's not long before trouble rears it's ugly head though, an evil chemical producing company called Apocalypse Inc. plans to take over Tromaville for some stupid insignificant reason or other but to do so they need to get rid of Toxie. After the evil chairman's (Rick Collins) first plan fails he bribes Toxie's psychiatrist (Erika Schickel) to tell him to go to Japan & see his Father. Leaving his girlfriend Claire (Phoebe Legere), his Mother (Jessica Dublin) & his home behind Toxie heads for Tokyo, Japan. Once there Toxie sets about finding his Father & a woman named Masami (Mayako Katsuragi) helps him in his quest. Meanwhile back in Tromaville Apocalypse Inc. move in for the kill & without Toxie the citizens are powerless to defend themselves. Toxie eventually finds Big Mac Bunko (Rikiya Yasuoka) whom he has been lead to believe is his Father, however Big Mac is all part of Apocalypse Inc. plans to destroy Toxie once & for all...<br /><br />Produced & directed by Lloyd Kaufman & Michael Herz this follow up to the successful The Toxic Avenger (1985) basically proves the first film was a complete fluke, a lucky accident to combine the right blend of bad taste comedy, outrageous violence & so-bad-it's-good film-making, The Toxic Avenger, Part II is a load of crap in comparison. The script by by Kaufman, Phil Rivio & Gay Partington Terry with a load of 'additional material' credits does not contain one single funny moment during it's entire 102 (uncut director's cut) duration. The visual gags are terrible, Toxie walking through Tokyo with a wig & glasses to blend in for instance, or a scene where he heats up a bath with a bad guy in it & as he cooks Toxie throws in a load of vegetable's & spaghetti, a scene where he sticks electrical wires up a woman's nose, sticks an antenna in her head & a microphone in her mouth to which a Japanese radio announcer talks into, a bit where a Japanese bad guy has his nose burnt into the shape of a fish, a bit where Toxie grabs a swordfish head & uses it as a weapon, or the embarrassingly bad overacting & stupid idiotic facial expressions, a guy who literary has a fish for a head & gets turned literary into sushi, the awful comedy music & sound effects & the whole film in general is a pale imitation of what made the original mildly amusing & memorable. The bad taste gags aren't there this time round & the silly childish juvenile humour of the first is also missing, it just feels like a real step back from the original & lets not forget this is Troma here so that is most definitely a bad thing. There are a few gory fights & some serious gore & violence, at least in the supposedly uncut 102 minute version I saw, crushed heads with the bodies spurting out blood, smashed faces, intestines, roses poked in someones eyes & thorns wrapped around their throat, ripped off ears, severed arms & a very graphic & gory scene of a man being chopped to pieces. Unfortunately the special effects by Pericles Lewnes aren't particularly convincing & come mostly within the first twenty or so minutes. The acting is of embarrassing proportions as I've already mentioned. Action wise there is an ultra cheap looking car chase at the end & a few unexciting, lacklustre fights utilising cardboard ninja throwing stars at one point. Horror wise there is nothing a few gory set pieces apart. Comedy wise this is very unfunny. In fact The Toxic Avenger, Part II sucks on all levels really & to top it all off it's atrociously made as well, most of the cast appear to be people plucked from the nearest street corner, continuity is none existent, cinematography is basic point & shoot & the special effects are anything but. One or two gory scenes apart this is total crap plain & simple, do yourself a favour watch the original again instead.",story_plot,negative,,
